18/06/09 19:40:03 : Message is missing sender's address
18/06/09 20:28:37 : Authentication failed: Bad username / password<EOL>
18/06/09 20:28:39 : Authentication failed: Bad username / password<EOL>
18/07/03 10:34:13 : Message is missing sender's address
18/07/05 11:26:50 : Socket Error # 11001<EOL>Host not found.
18/08/23 12:05:32 : Authentication failed: Bad username / password<EOL>
18/08/23 12:05:32 : Authentication failed: Bad username / password<EOL>
18/08/23 12:12:42 : Authentication failed: Bad username / password<EOL>
18/08/23 12:12:43 : Authentication failed: Bad username / password<EOL>
18/08/23 12:19:29 : Authentication failed: Bad username / password<EOL>
18/08/23 12:25:27 : Authentication failed: Bad username / password<EOL>
18/08/23 14:00:53 : Authentication failed: Bad username / password<EOL>
18/08/24 12:44:07 : Authentication failed: Bad username / password<EOL>
18/08/24 12:44:08 : Authentication failed: Bad username / password<EOL>
18/08/24 12:45:16 : Authentication failed: Bad username / password<EOL>
18/08/24 12:45:17 : Authentication failed: Bad username / password<EOL>
18/08/24 12:45:48 : Authentication failed: Bad username / password<EOL>
18/08/24 12:45:50 : Authentication failed: Bad username / password<EOL>
18/08/24 12:50:17 : Authentication failed: Bad username / password<EOL>
18/08/24 12:50:18 : Authentication failed: Bad username / password<EOL>
